,code,name,high,close,highpercent,url
9,300313,天山生物,20.71,19.5799989,-5.456,https://xueqiu.com/S/SZ300313
12,002417,三元达,17.09,16.4200302,-3.92,https://xueqiu.com/S/SZ002417
8,603323,吴江银行,15.83,15.2800215,-3.474,https://xueqiu.com/S/SH603323
4,601128,常熟银行,10.93,10.5599578,-3.386,https://xueqiu.com/S/SH601128
5,300268,万福生科,36.29,35.3698986,-2.535,https://xueqiu.com/S/SZ300268
10,300192,科斯伍德,15.75,15.389990399999999,-2.286,https://xueqiu.com/S/SZ300192
1,600908,无锡银行,11.74,11.4799597,-2.215,https://xueqiu.com/S/SH600908
19,300376,易事特,43.41,43.409946,-0.0,https://xueqiu.com/S/SZ300376
18,002835,同为股份,40.48,40.48,0.0,https://xueqiu.com/S/SZ002835
17,300591,万里马,23.65,23.65,0.0,https://xueqiu.com/S/SZ300591
16,300582,英飞特,39.93,39.92999999999999,-0.0,https://xueqiu.com/S/SZ300582
15,300413,快乐购,22.61,22.609932,-0.0,https://xueqiu.com/S/SZ300413
14,002166,莱茵生物,13.34,13.3399675,-0.0,https://xueqiu.com/S/SZ002166
0,300023,宝德股份,19.79,19.790079399999996,0.0,https://xueqiu.com/S/SZ300023
11,601858,中国科传,17.58,17.580077400000004,0.0,https://xueqiu.com/S/SH601858
20,600679,上海凤凰,37.49,37.49004479999999,0.0,https://xueqiu.com/S/SH600679
7,002842,翔鹭钨业,51.59,51.59,0.0,https://xueqiu.com/S/SZ002842
6,300593,新雷能,43.21,43.209964,-0.0,https://xueqiu.com/S/SZ300593
3,002824,和胜股份,52.35,52.3499518,-0.0,https://xueqiu.com/S/SZ002824
2,002840,华统股份,28.44,28.439911500000004,-0.0,https://xueqiu.com/S/SZ002840
13,002726,龙大肉食,19.17,19.1700369,0.0,https://xueqiu.com/S/SZ002726
21,002826,易明医药,26.9,26.89989,-0.0,https://xueqiu.com/S/SZ002826
